Time;source;dest;direction;
1468151029000;00-17-0d-00-00-b0-00-aa;00-17-0d-00-00-b0-00-87;3;
1468147969000;00-17-0d-00-00-60-05-78;00-17-0d-00-00-3f-fe-88;2;
1468144430000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468140769000;00-17-0d-00-00-3f-f8-20;00-17-0d-00-00-60-03-82;2;
1468124042000;00-17-0d-00-00-b0-00-aa;00-17-0d-00-00-b0-00-87;3;
1468122830000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468111969000;00-17-0d-00-00-60-05-78;00-17-0d-00-00-60-02-4b;2;
1468111266000;00-17-0d-00-00-60-01-f8;00-17-0d-00-00-58-32-36;2;
1468111264000;00-17-0d-00-00-60-02-4b;00-17-0d-00-00-58-32-36;2;
1468111262000;00-17-0d-00-00-60-02-1b;00-17-0d-00-00-58-32-36;2;
1468111259000;00-17-0d-00-00-60-05-5f;00-17-0d-00-00-58-32-36;2;
1468111258000;00-17-0d-00-00-60-06-27;00-17-0d-00-00-58-32-36;2;
1468111257000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-58-32-36;3;
1468108900000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468093948000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1468089609000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1468081484000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468081075000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1468075502000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468072431000;00-17-0d-00-00-b0-00-aa;00-17-0d-00-00-60-05-ab;3;
1468072430000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468063515000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1468061568000;00-17-0d-00-00-60-03-82;00-17-0d-00-00-58-32-36;2;
1468057896000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468054369000;00-17-0d-00-00-60-01-f8;00-17-0d-00-00-30-60-ef;2;
1468041691000;00-17-0d-00-00-b0-00-aa;00-17-0d-00-00-b0-00-87;3;
1468036295000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468032768000;00-17-0d-00-00-60-03-82;00-17-0d-00-00-3f-fe-87;2;
1468029540000;00-17-0d-00-00-b0-00-aa;00-17-0d-00-00-b0-00-87;3;
1468022828000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468018369000;00-17-0d-00-00-60-03-82;00-17-0d-00-00-58-32-36;2;
1468017062000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468014880000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468014829000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468013416000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1468011169000;00-17-0d-00-00-3f-fe-87;00-17-0d-00-00-60-03-82;2;
1468004829000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1468003968000;00-17-0d-00-00-60-02-1b;00-17-0d-00-00-3f-fe-87;2;
1468001486000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467998424000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467994944000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467994881000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1467991269000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467990430000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1467987830000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1467978593000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1467974816000;00-17-0d-00-00-3f-fe-87;00-17-0d-00-00-58-32-36;2;
1467960586000;00-17-0d-00-00-60-02-1b;00-17-0d-00-00-58-32-36;2;
1467958994000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1467953100000;00-17-0d-00-00-3f-f8-20;00-17-0d-00-00-58-32-36;2;
1467946364000;00-17-0d-00-00-60-05-78;00-17-0d-00-00-60-02-4b;2;
1467940521000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1467936480000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1467931822000;00-17-0d-00-00-60-06-27;00-17-0d-00-00-58-32-36;2;
1467930149000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1467921229000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1467919131000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1467918634000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1467917509000;00-17-0d-00-00-3f-fe-87;00-17-0d-00-00-58-32-36;2;
1467908877000;00-17-0d-00-00-60-05-78;00-17-0d-00-00-b0-00-cc;2;
1467907252000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1467898199000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1467893499000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467880344000;00-17-0d-00-00-58-32-36;00-17-0d-00-00-60-05-ab;2;
1467877140000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1467869942000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1467855648000;00-17-0d-00-00-3f-fe-87;00-17-0d-00-00-58-32-36;3;
1467855497000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1467835476000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467822661000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467794276000;00-17-0d-00-00-60-03-82;00-17-0d-00-00-60-05-69;2;
1467779877000;00-17-0d-00-00-58-32-36;00-17-0d-00-00-b0-00-87;2;
1467772495000;00-17-0d-00-00-60-05-78;00-17-0d-00-00-30-60-ef;2;
1467768120000;00-17-0d-00-00-60-02-1b;00-17-0d-00-00-58-32-36;3;
1467760321000;00-17-0d-00-00-30-60-ef;00-17-0d-00-00-58-32-36;3;
1467750422000;00-17-0d-00-00-60-02-1b;00-17-0d-00-00-60-01-f8;2;
1467749219000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467746129000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467744807000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467739571000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467734685000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467733030000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467729834000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467725941000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1467723630000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467716099000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467711858000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467706223000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467694138000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467686341000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467684041000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467679435000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467676847000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467656951000;00-17-0d-00-00-60-03-82;00-17-0d-00-00-30-60-ef;2;
1467655140000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467652718000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467642862000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467638046000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467635881000;00-17-0d-00-00-60-03-82;00-17-0d-00-00-30-60-ef;2;
1467632384000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467610741000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1467581806000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467578280000;00-17-0d-00-00-60-03-82;00-17-0d-00-00-60-05-69;2;
1467577186000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467574756000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467569460000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467568074000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467567541000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1467562528000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467561017000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467557345000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467554420000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467549186000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467543520000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467538541000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467531541000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1467531292000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467529604000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467524544000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467520430000;00-17-0d-00-00-60-03-82;00-17-0d-00-00-60-05-69;2;
1467520231000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467515143000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467514906000;00-17-0d-00-00-60-03-82;00-17-0d-00-00-30-60-ef;2;
1467508647000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467506031000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467500281000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467496113000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467495540000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1467492638000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467489899000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467485461000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467481014000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467475233000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467472588000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467468120000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467465540000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467461612000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467459693000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467458994000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1467456723000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467453989000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467452403000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467451421000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467449108000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467446014000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467444373000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467441577000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467436498000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467434984000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467433698000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467429673000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467426752000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467423209000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467421140000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467417370000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467415207000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467406209000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467401183000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1467398017000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1467394417000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
